20140901,331053232.29769486,317057331.24950886
20140902,331877299.3202866,337286938.8311139
20140903,333890534.0597451,363110642.5208605
20140904,298319512.46825457,307264397.2723555
20140905,240752119.30602723,262669016.42628416
20140906,226612939.26645917,225881430.84685397
20140907,243555932.52620676,259321919.37061968
20140908,297086126.6848345,311706545.5633469
20140909,332127575.9886367,347788515.7811499
20140910,326520671.25920755,356119601.77552974
20140911,291683904.2200069,309066795.50128156
20140912,239271079.53556585,259688868.8760572
20140913,225354449.63310215,233919169.32619345
20140914,247528604.60251087,257966996.7133898
20140915,295093751.86872256,312730680.8827529
20140916,334500763.59786147,353784504.49410623
20140917,328082885.9543116,357234808.99491215
20140918,292710071.1762236,314390396.1635496
20140919,244897056.4889436,262480869.05396497
20140920,227571019.31898037,238748511.85768104
20140921,253022235.24814096,261791023.49939242
20140922,298072135.5967905,315923221.815145
20140923,336674688.87719774,358885433.73093545
20140924,332195565.1042559,361019381.27994555
20140925,294711246.8315511,319540263.4907154
20140926,250538327.93312204,267006325.425451
20140927,231826899.21946964,243286168.55534118
20140928,257446320.75847566,266311222.14710736
20140929,302570158.46336013,319944074.8898514
20140930,338702140.05362195,363634603.9961943
